customer_hk,snapshot_date,sat_customer_ldts
0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2024/01/31 23:59:59.000000000,
0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2024/02/01 23:59:59.000000000,
146-70-68-77-148-240-129-227-84-152-3-185-40-38-15-86,2024/01/31 23:59:59.000000000,
146-70-68-77-148-240-129-227-84-152-3-185-40-38-15-86,2024/02/01 23:59:59.000000000,2024/02/01 00:00:00.000000000
170-104-199-92-74-119-200-127-151-251-104-107-47-6-134-118,2024/01/31 23:59:59.000000000,2024/01/01 00:00:00.000000000
170-104-199-92-74-119-200-127-151-251-104-107-47-6-134-118,2024/02/01 23:59:59.000000000,2024/01/01 00:00:00.000000000
184-195-126-51-222-253-229-28-249-30-30-3-229-22-87-218,2024/01/31 23:59:59.000000000,2024/01/01 00:00:00.000000000
184-195-126-51-222-253-229-28-249-30-30-3-229-22-87-218,2024/02/01 23:59:59.000000000,2024/02/01 00:00:00.000000000
251-169-216-129-100-243-226-217-16-158-231-112-34-50-18-160,2024/01/31 23:59:59.000000000,2024/01/01 00:00:00.000000000
251-169-216-129-100-243-226-217-16-158-231-112-34-50-18-160,2024/02/01 23:59:59.000000000,2024/02/01 00:00:00.000000000
254-211-51-146-211-164-138-161-73-168-122-56-184-117-186-74,2024/01/31 23:59:59.000000000,2024/01/01 00:00:00.000000000
254-211-51-146-211-164-138-161-73-168-122-56-184-117-186-74,2024/02/01 23:59:59.000000000,2024/01/01 00:00:00.000000000
255-255-255-255-255-255-255-255-255-255-255-255-255-255-255-255,2024/01/31 23:59:59.000000000,
255-255-255-255-255-255-255-255-255-255-255-255-255-255-255-255,2024/02/01 23:59:59.000000000,
35-135-51-123-161-224-176-36-155-169-15-85-178-186-37-33,2024/01/31 23:59:59.000000000,2024/01/01 00:00:00.000000000
35-135-51-123-161-224-176-36-155-169-15-85-178-186-37-33,2024/02/01 23:59:59.000000000,2024/01/01 00:00:00.000000000
