customer_id,segment,loyalty_tier,demo_score,load_date,record_source
1001,RETAIL,BRONZE,50,2024-01-01,CRM-c360-demo
1002,WHOLESALE,SILVER,51,2024-01-01,CRM-c360-demo
1003,ENTERPRISE,GOLD,52,2024-01-01,CRM-c360-demo
1004,SMB,PLATINUM,53,2024-01-01,CRM-c360-demo
1005,RETAIL,BRONZE,54,2024-01-01,CRM-c360-demo
1006,WHOLESALE,SILVER,55,2024-01-01,CRM-c360-demo
1007,ENTERPRISE,GOLD,56,2024-01-01,CRM-c360-demo
1008,SMB,PLATINUM,57,2024-01-01,CRM-c360-demo
1009,RETAIL,BRONZE,58,2024-01-01,CRM-c360-demo
1010,WHOLESALE,SILVER,59,2024-01-01,CRM-c360-demo
1011,ENTERPRISE,GOLD,60,2024-01-01,CRM-c360-demo
1012,SMB,PLATINUM,61,2024-01-01,CRM-c360-demo
1013,RETAIL,BRONZE,62,2024-01-01,CRM-c360-demo
1014,WHOLESALE,SILVER,63,2024-01-01,CRM-c360-demo
1015,ENTERPRISE,GOLD,64,2024-01-01,CRM-c360-demo
1016,SMB,PLATINUM,65,2024-01-01,CRM-c360-demo
1017,RETAIL,BRONZE,66,2024-01-01,CRM-c360-demo
1018,WHOLESALE,SILVER,67,2024-01-01,CRM-c360-demo
1019,ENTERPRISE,GOLD,68,2024-01-01,CRM-c360-demo
1020,SMB,PLATINUM,69,2024-01-01,CRM-c360-demo
1021,RETAIL,BRONZE,70,2024-01-01,CRM-c360-demo
1022,WHOLESALE,SILVER,71,2024-01-01,CRM-c360-demo
1023,ENTERPRISE,GOLD,72,2024-01-01,CRM-c360-demo
1024,SMB,PLATINUM,73,2024-01-01,CRM-c360-demo
1025,RETAIL,BRONZE,74,2024-01-01,CRM-c360-demo
1026,WHOLESALE,SILVER,75,2024-01-01,CRM-c360-demo
1027,ENTERPRISE,GOLD,76,2024-01-01,CRM-c360-demo
1028,SMB,PLATINUM,77,2024-01-01,CRM-c360-demo
1029,RETAIL,BRONZE,78,2024-01-01,CRM-c360-demo
1030,WHOLESALE,SILVER,79,2024-01-01,CRM-c360-demo
1031,ENTERPRISE,GOLD,80,2024-01-01,CRM-c360-demo
1032,SMB,PLATINUM,81,2024-01-01,CRM-c360-demo
1033,RETAIL,BRONZE,82,2024-01-01,CRM-c360-demo
1034,WHOLESALE,SILVER,83,2024-01-01,CRM-c360-demo
1035,ENTERPRISE,GOLD,84,2024-01-01,CRM-c360-demo
1036,SMB,PLATINUM,85,2024-01-01,CRM-c360-demo
1037,RETAIL,BRONZE,86,2024-01-01,CRM-c360-demo
1038,WHOLESALE,SILVER,87,2024-01-01,CRM-c360-demo
1039,ENTERPRISE,GOLD,88,2024-01-01,CRM-c360-demo
1040,SMB,PLATINUM,89,2024-01-01,CRM-c360-demo
1041,RETAIL,BRONZE,90,2024-01-01,CRM-c360-demo
1042,WHOLESALE,SILVER,91,2024-01-01,CRM-c360-demo
1043,ENTERPRISE,GOLD,92,2024-01-01,CRM-c360-demo
1044,SMB,PLATINUM,93,2024-01-01,CRM-c360-demo
1045,RETAIL,BRONZE,94,2024-01-01,CRM-c360-demo
1046,WHOLESALE,SILVER,95,2024-01-01,CRM-c360-demo
1047,ENTERPRISE,GOLD,96,2024-01-01,CRM-c360-demo
1048,SMB,PLATINUM,97,2024-01-01,CRM-c360-demo
1049,RETAIL,BRONZE,98,2024-01-01,CRM-c360-demo
1050,WHOLESALE,SILVER,99,2024-01-01,CRM-c360-demo
1051,ENTERPRISE,GOLD,50,2024-01-01,CRM-c360-demo
1052,SMB,PLATINUM,51,2024-01-01,CRM-c360-demo
1053,RETAIL,BRONZE,52,2024-01-01,CRM-c360-demo
1054,WHOLESALE,SILVER,53,2024-01-01,CRM-c360-demo
1055,ENTERPRISE,GOLD,54,2024-01-01,CRM-c360-demo
1056,SMB,PLATINUM,55,2024-01-01,CRM-c360-demo
1057,RETAIL,BRONZE,56,2024-01-01,CRM-c360-demo
1058,WHOLESALE,SILVER,57,2024-01-01,CRM-c360-demo
1059,ENTERPRISE,GOLD,58,2024-01-01,CRM-c360-demo
1060,SMB,PLATINUM,59,2024-01-01,CRM-c360-demo
1061,RETAIL,BRONZE,60,2024-01-01,CRM-c360-demo
1062,WHOLESALE,SILVER,61,2024-01-01,CRM-c360-demo
1063,ENTERPRISE,GOLD,62,2024-01-01,CRM-c360-demo
1064,SMB,PLATINUM,63,2024-01-01,CRM-c360-demo
1065,RETAIL,BRONZE,64,2024-01-01,CRM-c360-demo
1066,WHOLESALE,SILVER,65,2024-01-01,CRM-c360-demo
1067,ENTERPRISE,GOLD,66,2024-01-01,CRM-c360-demo
1068,SMB,PLATINUM,67,2024-01-01,CRM-c360-demo
1069,RETAIL,BRONZE,68,2024-01-01,CRM-c360-demo
1070,WHOLESALE,SILVER,69,2024-01-01,CRM-c360-demo
1071,ENTERPRISE,GOLD,70,2024-01-01,CRM-c360-demo
1072,SMB,PLATINUM,71,2024-01-01,CRM-c360-demo
1073,RETAIL,BRONZE,72,2024-01-01,CRM-c360-demo
1074,WHOLESALE,SILVER,73,2024-01-01,CRM-c360-demo
1075,ENTERPRISE,GOLD,74,2024-01-01,CRM-c360-demo
1076,SMB,PLATINUM,75,2024-01-01,CRM-c360-demo
1077,RETAIL,BRONZE,76,2024-01-01,CRM-c360-demo
1078,WHOLESALE,SILVER,77,2024-01-01,CRM-c360-demo
1079,ENTERPRISE,GOLD,78,2024-01-01,CRM-c360-demo
1080,SMB,PLATINUM,79,2024-01-01,CRM-c360-demo
1081,RETAIL,BRONZE,80,2024-01-01,CRM-c360-demo
1082,WHOLESALE,SILVER,81,2024-01-01,CRM-c360-demo
1083,ENTERPRISE,GOLD,82,2024-01-01,CRM-c360-demo
1084,SMB,PLATINUM,83,2024-01-01,CRM-c360-demo
1085,RETAIL,BRONZE,84,2024-01-01,CRM-c360-demo
1086,WHOLESALE,SILVER,85,2024-01-01,CRM-c360-demo
1087,ENTERPRISE,GOLD,86,2024-01-01,CRM-c360-demo
1088,SMB,PLATINUM,87,2024-01-01,CRM-c360-demo
1089,RETAIL,BRONZE,88,2024-01-01,CRM-c360-demo
1090,WHOLESALE,SILVER,89,2024-01-01,CRM-c360-demo
1091,ENTERPRISE,GOLD,90,2024-01-01,CRM-c360-demo
1092,SMB,PLATINUM,91,2024-01-01,CRM-c360-demo
1093,RETAIL,BRONZE,92,2024-01-01,CRM-c360-demo
1094,WHOLESALE,SILVER,93,2024-01-01,CRM-c360-demo
1095,ENTERPRISE,GOLD,94,2024-01-01,CRM-c360-demo
1096,SMB,PLATINUM,95,2024-01-01,CRM-c360-demo
1097,RETAIL,BRONZE,96,2024-01-01,CRM-c360-demo
1098,WHOLESALE,SILVER,97,2024-01-01,CRM-c360-demo
1099,ENTERPRISE,GOLD,98,2024-01-01,CRM-c360-demo
1100,SMB,PLATINUM,99,2024-01-01,CRM-c360-demo
1101,RETAIL,BRONZE,50,2024-01-01,CRM-c360-demo
1102,WHOLESALE,SILVER,51,2024-01-01,CRM-c360-demo
1103,ENTERPRISE,GOLD,52,2024-01-01,CRM-c360-demo
1104,SMB,PLATINUM,53,2024-01-01,CRM-c360-demo
1105,RETAIL,BRONZE,54,2024-01-01,CRM-c360-demo
1106,WHOLESALE,SILVER,55,2024-01-01,CRM-c360-demo
1107,ENTERPRISE,GOLD,56,2024-01-01,CRM-c360-demo
1108,SMB,PLATINUM,57,2024-01-01,CRM-c360-demo
1109,RETAIL,BRONZE,58,2024-01-01,CRM-c360-demo
1110,WHOLESALE,SILVER,59,2024-01-01,CRM-c360-demo
1111,ENTERPRISE,GOLD,60,2024-01-01,CRM-c360-demo
1112,SMB,PLATINUM,61,2024-01-01,CRM-c360-demo
1113,RETAIL,BRONZE,62,2024-01-01,CRM-c360-demo
1114,WHOLESALE,SILVER,63,2024-01-01,CRM-c360-demo
1115,ENTERPRISE,GOLD,64,2024-01-01,CRM-c360-demo
1116,SMB,PLATINUM,65,2024-01-01,CRM-c360-demo
1117,RETAIL,BRONZE,66,2024-01-01,CRM-c360-demo
1118,WHOLESALE,SILVER,67,2024-01-01,CRM-c360-demo
1119,ENTERPRISE,GOLD,68,2024-01-01,CRM-c360-demo
1120,SMB,PLATINUM,69,2024-01-01,CRM-c360-demo
1121,RETAIL,BRONZE,70,2024-01-01,CRM-c360-demo
1122,WHOLESALE,SILVER,71,2024-01-01,CRM-c360-demo
1123,ENTERPRISE,GOLD,72,2024-01-01,CRM-c360-demo
1124,SMB,PLATINUM,73,2024-01-01,CRM-c360-demo
1125,RETAIL,BRONZE,74,2024-01-01,CRM-c360-demo
1126,WHOLESALE,SILVER,75,2024-01-01,CRM-c360-demo
1127,ENTERPRISE,GOLD,76,2024-01-01,CRM-c360-demo
1128,SMB,PLATINUM,77,2024-01-01,CRM-c360-demo
1129,RETAIL,BRONZE,78,2024-01-01,CRM-c360-demo
1130,WHOLESALE,SILVER,79,2024-01-01,CRM-c360-demo
1131,ENTERPRISE,GOLD,80,2024-01-01,CRM-c360-demo
1132,SMB,PLATINUM,81,2024-01-01,CRM-c360-demo
1133,RETAIL,BRONZE,82,2024-01-01,CRM-c360-demo
1134,WHOLESALE,SILVER,83,2024-01-01,CRM-c360-demo
1135,ENTERPRISE,GOLD,84,2024-01-01,CRM-c360-demo
1136,SMB,PLATINUM,85,2024-01-01,CRM-c360-demo
1137,RETAIL,BRONZE,86,2024-01-01,CRM-c360-demo
1138,WHOLESALE,SILVER,87,2024-01-01,CRM-c360-demo
1139,ENTERPRISE,GOLD,88,2024-01-01,CRM-c360-demo
1140,SMB,PLATINUM,89,2024-01-01,CRM-c360-demo
1141,RETAIL,BRONZE,90,2024-01-01,CRM-c360-demo
1142,WHOLESALE,SILVER,91,2024-01-01,CRM-c360-demo
1143,ENTERPRISE,GOLD,92,2024-01-01,CRM-c360-demo
1144,SMB,PLATINUM,93,2024-01-01,CRM-c360-demo
1145,RETAIL,BRONZE,94,2024-01-01,CRM-c360-demo
1146,WHOLESALE,SILVER,95,2024-01-01,CRM-c360-demo
1147,ENTERPRISE,GOLD,96,2024-01-01,CRM-c360-demo
1148,SMB,PLATINUM,97,2024-01-01,CRM-c360-demo
1149,RETAIL,BRONZE,98,2024-01-01,CRM-c360-demo
1150,WHOLESALE,SILVER,99,2024-01-01,CRM-c360-demo
1151,ENTERPRISE,GOLD,50,2024-01-01,CRM-c360-demo
1152,SMB,PLATINUM,51,2024-01-01,CRM-c360-demo
1153,RETAIL,BRONZE,52,2024-01-01,CRM-c360-demo
1154,WHOLESALE,SILVER,53,2024-01-01,CRM-c360-demo
1155,ENTERPRISE,GOLD,54,2024-01-01,CRM-c360-demo
1156,SMB,PLATINUM,55,2024-01-01,CRM-c360-demo
1157,RETAIL,BRONZE,56,2024-01-01,CRM-c360-demo
1158,WHOLESALE,SILVER,57,2024-01-01,CRM-c360-demo
1159,ENTERPRISE,GOLD,58,2024-01-01,CRM-c360-demo
1160,SMB,PLATINUM,59,2024-01-01,CRM-c360-demo
1161,RETAIL,BRONZE,60,2024-01-01,CRM-c360-demo
1162,WHOLESALE,SILVER,61,2024-01-01,CRM-c360-demo
1163,ENTERPRISE,GOLD,62,2024-01-01,CRM-c360-demo
1164,SMB,PLATINUM,63,2024-01-01,CRM-c360-demo
1165,RETAIL,BRONZE,64,2024-01-01,CRM-c360-demo
1166,WHOLESALE,SILVER,65,2024-01-01,CRM-c360-demo
1167,ENTERPRISE,GOLD,66,2024-01-01,CRM-c360-demo
1168,SMB,PLATINUM,67,2024-01-01,CRM-c360-demo
1169,RETAIL,BRONZE,68,2024-01-01,CRM-c360-demo
1170,WHOLESALE,SILVER,69,2024-01-01,CRM-c360-demo
1171,ENTERPRISE,GOLD,70,2024-01-01,CRM-c360-demo
1172,SMB,PLATINUM,71,2024-01-01,CRM-c360-demo
1173,RETAIL,BRONZE,72,2024-01-01,CRM-c360-demo
1174,WHOLESALE,SILVER,73,2024-01-01,CRM-c360-demo
1175,ENTERPRISE,GOLD,74,2024-01-01,CRM-c360-demo
1176,SMB,PLATINUM,75,2024-01-01,CRM-c360-demo
1177,RETAIL,BRONZE,76,2024-01-01,CRM-c360-demo
1178,WHOLESALE,SILVER,77,2024-01-01,CRM-c360-demo
1179,ENTERPRISE,GOLD,78,2024-01-01,CRM-c360-demo
1180,SMB,PLATINUM,79,2024-01-01,CRM-c360-demo
1181,RETAIL,BRONZE,80,2024-01-01,CRM-c360-demo
1182,WHOLESALE,SILVER,81,2024-01-01,CRM-c360-demo
1183,ENTERPRISE,GOLD,82,2024-01-01,CRM-c360-demo
1184,SMB,PLATINUM,83,2024-01-01,CRM-c360-demo
1185,RETAIL,BRONZE,84,2024-01-01,CRM-c360-demo
1186,WHOLESALE,SILVER,85,2024-01-01,CRM-c360-demo
1187,ENTERPRISE,GOLD,86,2024-01-01,CRM-c360-demo
1188,SMB,PLATINUM,87,2024-01-01,CRM-c360-demo
1189,RETAIL,BRONZE,88,2024-01-01,CRM-c360-demo
1190,WHOLESALE,SILVER,89,2024-01-01,CRM-c360-demo
1191,ENTERPRISE,GOLD,90,2024-01-01,CRM-c360-demo
1192,SMB,PLATINUM,91,2024-01-01,CRM-c360-demo
1193,RETAIL,BRONZE,92,2024-01-01,CRM-c360-demo
1194,WHOLESALE,SILVER,93,2024-01-01,CRM-c360-demo
1195,ENTERPRISE,GOLD,94,2024-01-01,CRM-c360-demo
1196,SMB,PLATINUM,95,2024-01-01,CRM-c360-demo
1197,RETAIL,BRONZE,96,2024-01-01,CRM-c360-demo
1198,WHOLESALE,SILVER,97,2024-01-01,CRM-c360-demo
1199,ENTERPRISE,GOLD,98,2024-01-01,CRM-c360-demo
1200,SMB,PLATINUM,99,2024-01-01,CRM-c360-demo
1201,RETAIL,BRONZE,50,2024-01-01,CRM-c360-demo
1202,WHOLESALE,SILVER,51,2024-01-01,CRM-c360-demo
1203,ENTERPRISE,GOLD,52,2024-01-01,CRM-c360-demo
1204,SMB,PLATINUM,53,2024-01-01,CRM-c360-demo
1205,RETAIL,BRONZE,54,2024-01-01,CRM-c360-demo
1206,WHOLESALE,SILVER,55,2024-01-01,CRM-c360-demo
1207,ENTERPRISE,GOLD,56,2024-01-01,CRM-c360-demo
1208,SMB,PLATINUM,57,2024-01-01,CRM-c360-demo
1209,RETAIL,BRONZE,58,2024-01-01,CRM-c360-demo
1210,WHOLESALE,SILVER,59,2024-01-01,CRM-c360-demo
1211,ENTERPRISE,GOLD,60,2024-01-01,CRM-c360-demo
1212,SMB,PLATINUM,61,2024-01-01,CRM-c360-demo
1213,RETAIL,BRONZE,62,2024-01-01,CRM-c360-demo
1214,WHOLESALE,SILVER,63,2024-01-01,CRM-c360-demo
1215,ENTERPRISE,GOLD,64,2024-01-01,CRM-c360-demo
1216,SMB,PLATINUM,65,2024-01-01,CRM-c360-demo
1217,RETAIL,BRONZE,66,2024-01-01,CRM-c360-demo
1218,WHOLESALE,SILVER,67,2024-01-01,CRM-c360-demo
1219,ENTERPRISE,GOLD,68,2024-01-01,CRM-c360-demo
1220,SMB,PLATINUM,69,2024-01-01,CRM-c360-demo
1221,RETAIL,BRONZE,70,2024-01-01,CRM-c360-demo
1222,WHOLESALE,SILVER,71,2024-01-01,CRM-c360-demo
1223,ENTERPRISE,GOLD,72,2024-01-01,CRM-c360-demo
1224,SMB,PLATINUM,73,2024-01-01,CRM-c360-demo
1225,RETAIL,BRONZE,74,2024-01-01,CRM-c360-demo
1226,WHOLESALE,SILVER,75,2024-01-01,CRM-c360-demo
1227,ENTERPRISE,GOLD,76,2024-01-01,CRM-c360-demo
1228,SMB,PLATINUM,77,2024-01-01,CRM-c360-demo
1229,RETAIL,BRONZE,78,2024-01-01,CRM-c360-demo
1230,WHOLESALE,SILVER,79,2024-01-01,CRM-c360-demo
1231,ENTERPRISE,GOLD,80,2024-01-01,CRM-c360-demo
1232,SMB,PLATINUM,81,2024-01-01,CRM-c360-demo
1233,RETAIL,BRONZE,82,2024-01-01,CRM-c360-demo
1234,WHOLESALE,SILVER,83,2024-01-01,CRM-c360-demo
1235,ENTERPRISE,GOLD,84,2024-01-01,CRM-c360-demo
1236,SMB,PLATINUM,85,2024-01-01,CRM-c360-demo
1237,RETAIL,BRONZE,86,2024-01-01,CRM-c360-demo
1238,WHOLESALE,SILVER,87,2024-01-01,CRM-c360-demo
1239,ENTERPRISE,GOLD,88,2024-01-01,CRM-c360-demo
1240,SMB,PLATINUM,89,2024-01-01,CRM-c360-demo
1241,RETAIL,BRONZE,90,2024-01-01,CRM-c360-demo
1242,WHOLESALE,SILVER,91,2024-01-01,CRM-c360-demo
1243,ENTERPRISE,GOLD,92,2024-01-01,CRM-c360-demo
1244,SMB,PLATINUM,93,2024-01-01,CRM-c360-demo
1245,RETAIL,BRONZE,94,2024-01-01,CRM-c360-demo
1246,WHOLESALE,SILVER,95,2024-01-01,CRM-c360-demo
1247,ENTERPRISE,GOLD,96,2024-01-01,CRM-c360-demo
1248,SMB,PLATINUM,97,2024-01-01,CRM-c360-demo
1249,RETAIL,BRONZE,98,2024-01-01,CRM-c360-demo
1250,WHOLESALE,SILVER,99,2024-01-01,CRM-c360-demo
1251,ENTERPRISE,GOLD,50,2024-01-01,CRM-c360-demo
1252,SMB,PLATINUM,51,2024-01-01,CRM-c360-demo
1253,RETAIL,BRONZE,52,2024-01-01,CRM-c360-demo
1254,WHOLESALE,SILVER,53,2024-01-01,CRM-c360-demo
1255,ENTERPRISE,GOLD,54,2024-01-01,CRM-c360-demo
1256,SMB,PLATINUM,55,2024-01-01,CRM-c360-demo
1257,RETAIL,BRONZE,56,2024-01-01,CRM-c360-demo
1258,WHOLESALE,SILVER,57,2024-01-01,CRM-c360-demo
1259,ENTERPRISE,GOLD,58,2024-01-01,CRM-c360-demo
1260,SMB,PLATINUM,59,2024-01-01,CRM-c360-demo
1261,RETAIL,BRONZE,60,2024-01-01,CRM-c360-demo
1262,WHOLESALE,SILVER,61,2024-01-01,CRM-c360-demo
1263,ENTERPRISE,GOLD,62,2024-01-01,CRM-c360-demo
1264,SMB,PLATINUM,63,2024-01-01,CRM-c360-demo
1265,RETAIL,BRONZE,64,2024-01-01,CRM-c360-demo
1266,WHOLESALE,SILVER,65,2024-01-01,CRM-c360-demo
1267,ENTERPRISE,GOLD,66,2024-01-01,CRM-c360-demo
1268,SMB,PLATINUM,67,2024-01-01,CRM-c360-demo
1269,RETAIL,BRONZE,68,2024-01-01,CRM-c360-demo
1270,WHOLESALE,SILVER,69,2024-01-01,CRM-c360-demo
1271,ENTERPRISE,GOLD,70,2024-01-01,CRM-c360-demo
1272,SMB,PLATINUM,71,2024-01-01,CRM-c360-demo
1273,RETAIL,BRONZE,72,2024-01-01,CRM-c360-demo
1274,WHOLESALE,SILVER,73,2024-01-01,CRM-c360-demo
1275,ENTERPRISE,GOLD,74,2024-01-01,CRM-c360-demo
1276,SMB,PLATINUM,75,2024-01-01,CRM-c360-demo
1277,RETAIL,BRONZE,76,2024-01-01,CRM-c360-demo
1278,WHOLESALE,SILVER,77,2024-01-01,CRM-c360-demo
1279,ENTERPRISE,GOLD,78,2024-01-01,CRM-c360-demo
1280,SMB,PLATINUM,79,2024-01-01,CRM-c360-demo
1281,RETAIL,BRONZE,80,2024-01-01,CRM-c360-demo
1282,WHOLESALE,SILVER,81,2024-01-01,CRM-c360-demo
1283,ENTERPRISE,GOLD,82,2024-01-01,CRM-c360-demo
1284,SMB,PLATINUM,83,2024-01-01,CRM-c360-demo
1285,RETAIL,BRONZE,84,2024-01-01,CRM-c360-demo
1286,WHOLESALE,SILVER,85,2024-01-01,CRM-c360-demo
1287,ENTERPRISE,GOLD,86,2024-01-01,CRM-c360-demo
1288,SMB,PLATINUM,87,2024-01-01,CRM-c360-demo
1289,RETAIL,BRONZE,88,2024-01-01,CRM-c360-demo
1290,WHOLESALE,SILVER,89,2024-01-01,CRM-c360-demo
1291,ENTERPRISE,GOLD,90,2024-01-01,CRM-c360-demo
1292,SMB,PLATINUM,91,2024-01-01,CRM-c360-demo
1293,RETAIL,BRONZE,92,2024-01-01,CRM-c360-demo
1294,WHOLESALE,SILVER,93,2024-01-01,CRM-c360-demo
1295,ENTERPRISE,GOLD,94,2024-01-01,CRM-c360-demo
1296,SMB,PLATINUM,95,2024-01-01,CRM-c360-demo
1297,RETAIL,BRONZE,96,2024-01-01,CRM-c360-demo
1298,WHOLESALE,SILVER,97,2024-01-01,CRM-c360-demo
1299,ENTERPRISE,GOLD,98,2024-01-01,CRM-c360-demo
1300,SMB,PLATINUM,99,2024-01-01,CRM-c360-demo
