customer_id,segment,loyalty_tier,demo_score,load_date,record_source
1075,RETAIL,BRONZE,79,2024-03-01,CRM-c360-demo
1080,WHOLESALE,SILVER,84,2024-03-01,CRM-c360-demo
1085,ENTERPRISE,GOLD,89,2024-03-01,CRM-c360-demo
1090,SMB,PLATINUM,94,2024-03-01,CRM-c360-demo
1095,RETAIL,BRONZE,99,2024-03-01,CRM-c360-demo
1100,WHOLESALE,SILVER,99,2024-03-01,CRM-c360-demo
1105,ENTERPRISE,GOLD,59,2024-03-01,CRM-c360-demo
1110,SMB,PLATINUM,64,2024-03-01,CRM-c360-demo
1115,RETAIL,BRONZE,69,2024-03-01,CRM-c360-demo
1120,WHOLESALE,SILVER,74,2024-03-01,CRM-c360-demo
1125,ENTERPRISE,GOLD,79,2024-03-01,CRM-c360-demo
1130,SMB,PLATINUM,84,2024-03-01,CRM-c360-demo
1135,RETAIL,BRONZE,89,2024-03-01,CRM-c360-demo
1140,WHOLESALE,SILVER,94,2024-03-01,CRM-c360-demo
1145,ENTERPRISE,GOLD,99,2024-03-01,CRM-c360-demo
1150,SMB,PLATINUM,99,2024-03-01,CRM-c360-demo
1155,RETAIL,BRONZE,59,2024-03-01,CRM-c360-demo
1160,WHOLESALE,SILVER,64,2024-03-01,CRM-c360-demo
1165,ENTERPRISE,GOLD,69,2024-03-01,CRM-c360-demo
1170,SMB,PLATINUM,74,2024-03-01,CRM-c360-demo
1175,RETAIL,BRONZE,79,2024-03-01,CRM-c360-demo
1180,WHOLESALE,SILVER,84,2024-03-01,CRM-c360-demo
1185,ENTERPRISE,GOLD,89,2024-03-01,CRM-c360-demo
1190,SMB,PLATINUM,94,2024-03-01,CRM-c360-demo
1195,RETAIL,BRONZE,99,2024-03-01,CRM-c360-demo
1200,WHOLESALE,SILVER,99,2024-03-01,CRM-c360-demo
1205,ENTERPRISE,GOLD,59,2024-03-01,CRM-c360-demo
1210,SMB,PLATINUM,64,2024-03-01,CRM-c360-demo
1215,RETAIL,BRONZE,69,2024-03-01,CRM-c360-demo
1220,WHOLESALE,SILVER,74,2024-03-01,CRM-c360-demo
1225,ENTERPRISE,GOLD,79,2024-03-01,CRM-c360-demo
1230,SMB,PLATINUM,84,2024-03-01,CRM-c360-demo
1235,RETAIL,BRONZE,89,2024-03-01,CRM-c360-demo
1240,WHOLESALE,SILVER,94,2024-03-01,CRM-c360-demo
1245,ENTERPRISE,GOLD,99,2024-03-01,CRM-c360-demo
1250,SMB,PLATINUM,99,2024-03-01,CRM-c360-demo
1255,RETAIL,BRONZE,59,2024-03-01,CRM-c360-demo
1260,WHOLESALE,SILVER,64,2024-03-01,CRM-c360-demo
1265,ENTERPRISE,GOLD,69,2024-03-01,CRM-c360-demo
1270,SMB,PLATINUM,74,2024-03-01,CRM-c360-demo
1275,RETAIL,BRONZE,79,2024-03-01,CRM-c360-demo
1280,WHOLESALE,SILVER,84,2024-03-01,CRM-c360-demo
1285,ENTERPRISE,GOLD,89,2024-03-01,CRM-c360-demo
1290,SMB,PLATINUM,94,2024-03-01,CRM-c360-demo
1295,RETAIL,BRONZE,99,2024-03-01,CRM-c360-demo
1300,WHOLESALE,SILVER,99,2024-03-01,CRM-c360-demo
1005,ENTERPRISE,GOLD,59,2024-03-01,CRM-c360-demo
1010,SMB,PLATINUM,64,2024-03-01,CRM-c360-demo
1015,RETAIL,BRONZE,69,2024-03-01,CRM-c360-demo
1020,WHOLESALE,SILVER,74,2024-03-01,CRM-c360-demo
1025,ENTERPRISE,GOLD,79,2024-03-01,CRM-c360-demo
1030,SMB,PLATINUM,84,2024-03-01,CRM-c360-demo
1035,RETAIL,BRONZE,89,2024-03-01,CRM-c360-demo
1040,WHOLESALE,SILVER,94,2024-03-01,CRM-c360-demo
1045,ENTERPRISE,GOLD,99,2024-03-01,CRM-c360-demo
1050,SMB,PLATINUM,99,2024-03-01,CRM-c360-demo
1055,RETAIL,BRONZE,59,2024-03-01,CRM-c360-demo
1060,WHOLESALE,SILVER,64,2024-03-01,CRM-c360-demo
1065,ENTERPRISE,GOLD,69,2024-03-01,CRM-c360-demo
1070,SMB,PLATINUM,74,2024-03-01,CRM-c360-demo
