customer_id,newsletter_opt_in,preferred_channel,language_code,load_date,record_source
1001,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
1002,N,SMS,fr,2024-01-01,CRM-c360-prefs
1003,Y,PHONE,de,2024-01-01,CRM-c360-prefs
1004,N,PORTAL,es,2024-01-01,CRM-c360-prefs
1005,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
1006,N,SMS,fr,2024-01-01,CRM-c360-prefs
1007,Y,PHONE,de,2024-01-01,CRM-c360-prefs
1008,N,PORTAL,es,2024-01-01,CRM-c360-prefs
1009,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
1010,N,SMS,fr,2024-01-01,CRM-c360-prefs
1011,Y,PHONE,de,2024-01-01,CRM-c360-prefs
1012,N,PORTAL,es,2024-01-01,CRM-c360-prefs
1013,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
1014,N,SMS,fr,2024-01-01,CRM-c360-prefs
1015,Y,PHONE,de,2024-01-01,CRM-c360-prefs
1016,N,PORTAL,es,2024-01-01,CRM-c360-prefs
1017,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
1018,N,SMS,fr,2024-01-01,CRM-c360-prefs
1019,Y,PHONE,de,2024-01-01,CRM-c360-prefs
1020,N,PORTAL,es,2024-01-01,CRM-c360-prefs
1021,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
1022,N,SMS,fr,2024-01-01,CRM-c360-prefs
1023,Y,PHONE,de,2024-01-01,CRM-c360-prefs
1024,N,PORTAL,es,2024-01-01,CRM-c360-prefs
1025,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
1026,N,SMS,fr,2024-01-01,CRM-c360-prefs
1027,Y,PHONE,de,2024-01-01,CRM-c360-prefs
1028,N,PORTAL,es,2024-01-01,CRM-c360-prefs
1029,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
1030,N,SMS,fr,2024-01-01,CRM-c360-prefs
1031,Y,PHONE,de,2024-01-01,CRM-c360-prefs
1032,N,PORTAL,es,2024-01-01,CRM-c360-prefs
1033,Y,EMAIL,en,2024-01-01,CRM-c360-prefs
