customer_id,newsletter_opt_in,preferred_channel,language_code,load_date,record_source
1075,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1080,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1085,N,PHONE,de,2024-03-01,CRM-c360-prefs
1090,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1095,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1100,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1105,N,PHONE,de,2024-03-01,CRM-c360-prefs
1110,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1115,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1120,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1125,N,PHONE,de,2024-03-01,CRM-c360-prefs
1130,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1135,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1140,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1145,N,PHONE,de,2024-03-01,CRM-c360-prefs
1150,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1155,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1160,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1165,N,PHONE,de,2024-03-01,CRM-c360-prefs
1170,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1175,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1180,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1185,N,PHONE,de,2024-03-01,CRM-c360-prefs
1190,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1195,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1200,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1205,N,PHONE,de,2024-03-01,CRM-c360-prefs
1210,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1215,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1220,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1225,N,PHONE,de,2024-03-01,CRM-c360-prefs
1230,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1235,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1240,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1245,N,PHONE,de,2024-03-01,CRM-c360-prefs
1250,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1255,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1260,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1265,N,PHONE,de,2024-03-01,CRM-c360-prefs
1270,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1275,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1280,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1285,N,PHONE,de,2024-03-01,CRM-c360-prefs
1290,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1295,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1300,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1005,N,PHONE,de,2024-03-01,CRM-c360-prefs
1010,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1015,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1020,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1025,N,PHONE,de,2024-03-01,CRM-c360-prefs
1030,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1035,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1040,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1045,N,PHONE,de,2024-03-01,CRM-c360-prefs
1050,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
1055,N,EMAIL,en,2024-03-01,CRM-c360-prefs
1060,Y,SMS,fr,2024-03-01,CRM-c360-prefs
1065,N,PHONE,de,2024-03-01,CRM-c360-prefs
1070,Y,PORTAL,es,2024-03-01,CRM-c360-prefs
