customer_id,segment,loyalty_tier,demo_score,load_date,record_source
1,ONLINE,BRONZE,56,2024-03-01,E2E-customer-demo
2,ONLINE,GOLD,83,2024-03-01,E2E-customer-demo
3,WHOLESALE,SILVER,71,2024-03-01,E2E-customer-demo
4,RETAIL,PLATINUM,76,2024-03-01,E2E-customer-demo
5,WHOLESALE,SILVER,54,2024-03-01,E2E-customer-demo
6,WHOLESALE,GOLD,66,2024-03-01,E2E-customer-demo
7,ONLINE,GOLD,97,2024-03-01,E2E-customer-demo
8,ONLINE,SILVER,52,2024-03-01,E2E-customer-demo
9,RETAIL,GOLD,64,2024-03-01,E2E-customer-demo
10,WHOLESALE,SILVER,82,2024-03-01,E2E-customer-demo
11,WHOLESALE,GOLD,93,2024-03-01,E2E-customer-demo
12,WHOLESALE,BRONZE,50,2024-03-01,E2E-customer-demo
13,WHOLESALE,GOLD,55,2024-03-01,E2E-customer-demo
14,RETAIL,BRONZE,49,2024-03-01,E2E-customer-demo
15,WHOLESALE,PLATINUM,40,2024-03-01,E2E-customer-demo
16,WHOLESALE,PLATINUM,72,2024-03-01,E2E-customer-demo
17,RETAIL,SILVER,51,2024-03-01,E2E-customer-demo
18,RETAIL,PLATINUM,41,2024-03-01,E2E-customer-demo
19,ONLINE,BRONZE,42,2024-03-01,E2E-customer-demo
20,WHOLESALE,PLATINUM,63,2024-03-01,E2E-customer-demo
21,WHOLESALE,GOLD,91,2024-03-01,E2E-customer-demo
22,ONLINE,BRONZE,48,2024-03-01,E2E-customer-demo
23,WHOLESALE,PLATINUM,48,2024-03-01,E2E-customer-demo
24,RETAIL,BRONZE,90,2024-03-01,E2E-customer-demo
25,ONLINE,PLATINUM,84,2024-03-01,E2E-customer-demo
26,WHOLESALE,BRONZE,48,2024-03-01,E2E-customer-demo
27,RETAIL,PLATINUM,42,2024-03-01,E2E-customer-demo
28,RETAIL,GOLD,42,2024-03-01,E2E-customer-demo
29,ONLINE,PLATINUM,87,2024-03-01,E2E-customer-demo
30,RETAIL,PLATINUM,44,2024-03-01,E2E-customer-demo
31,ONLINE,SILVER,79,2024-03-01,E2E-customer-demo
32,ONLINE,GOLD,84,2024-03-01,E2E-customer-demo
33,WHOLESALE,PLATINUM,72,2024-03-01,E2E-customer-demo
34,RETAIL,BRONZE,72,2024-03-01,E2E-customer-demo
35,ONLINE,SILVER,72,2024-03-01,E2E-customer-demo
36,RETAIL,BRONZE,81,2024-03-01,E2E-customer-demo
37,RETAIL,PLATINUM,76,2024-03-01,E2E-customer-demo
38,WHOLESALE,GOLD,44,2024-03-01,E2E-customer-demo
39,ONLINE,BRONZE,55,2024-03-01,E2E-customer-demo
40,WHOLESALE,GOLD,67,2024-03-01,E2E-customer-demo
41,WHOLESALE,PLATINUM,86,2024-03-01,E2E-customer-demo
42,WHOLESALE,BRONZE,77,2024-03-01,E2E-customer-demo
43,RETAIL,PLATINUM,90,2024-03-01,E2E-customer-demo
44,ONLINE,GOLD,58,2024-03-01,E2E-customer-demo
45,ONLINE,BRONZE,44,2024-03-01,E2E-customer-demo
46,WHOLESALE,BRONZE,79,2024-03-01,E2E-customer-demo
47,ONLINE,SILVER,58,2024-03-01,E2E-customer-demo
48,ONLINE,PLATINUM,46,2024-03-01,E2E-customer-demo
49,ONLINE,BRONZE,56,2024-03-01,E2E-customer-demo
50,ONLINE,BRONZE,74,2024-03-01,E2E-customer-demo
51,ONLINE,GOLD,97,2024-03-01,E2E-customer-demo
