customer_id,segment,loyalty_tier,demo_score,load_date,record_source
1,ONLINE,BRONZE,41,2024-01-01,E2E-customer-demo
2,ONLINE,GOLD,55,2024-01-01,E2E-customer-demo
3,RETAIL,SILVER,87,2024-01-01,E2E-customer-demo
4,RETAIL,BRONZE,77,2024-01-01,E2E-customer-demo
5,WHOLESALE,BRONZE,41,2024-01-01,E2E-customer-demo
6,RETAIL,SILVER,54,2024-01-01,E2E-customer-demo
7,ONLINE,BRONZE,75,2024-01-01,E2E-customer-demo
8,RETAIL,PLATINUM,54,2024-01-01,E2E-customer-demo
9,WHOLESALE,GOLD,91,2024-01-01,E2E-customer-demo
10,RETAIL,SILVER,84,2024-01-01,E2E-customer-demo
11,WHOLESALE,GOLD,57,2024-01-01,E2E-customer-demo
12,RETAIL,SILVER,88,2024-01-01,E2E-customer-demo
13,WHOLESALE,BRONZE,45,2024-01-01,E2E-customer-demo
14,WHOLESALE,BRONZE,62,2024-01-01,E2E-customer-demo
15,WHOLESALE,GOLD,91,2024-01-01,E2E-customer-demo
16,RETAIL,PLATINUM,74,2024-01-01,E2E-customer-demo
17,RETAIL,PLATINUM,45,2024-01-01,E2E-customer-demo
18,ONLINE,GOLD,93,2024-01-01,E2E-customer-demo
19,ONLINE,GOLD,76,2024-01-01,E2E-customer-demo
20,RETAIL,BRONZE,42,2024-01-01,E2E-customer-demo
21,ONLINE,SILVER,89,2024-01-01,E2E-customer-demo
22,WHOLESALE,BRONZE,94,2024-01-01,E2E-customer-demo
23,RETAIL,BRONZE,64,2024-01-01,E2E-customer-demo
24,WHOLESALE,PLATINUM,80,2024-01-01,E2E-customer-demo
25,WHOLESALE,SILVER,63,2024-01-01,E2E-customer-demo
26,WHOLESALE,SILVER,82,2024-01-01,E2E-customer-demo
27,WHOLESALE,BRONZE,78,2024-01-01,E2E-customer-demo
28,ONLINE,SILVER,74,2024-01-01,E2E-customer-demo
29,ONLINE,SILVER,50,2024-01-01,E2E-customer-demo
30,WHOLESALE,PLATINUM,57,2024-01-01,E2E-customer-demo
31,ONLINE,SILVER,83,2024-01-01,E2E-customer-demo
32,WHOLESALE,BRONZE,54,2024-01-01,E2E-customer-demo
33,RETAIL,GOLD,65,2024-01-01,E2E-customer-demo
34,WHOLESALE,BRONZE,53,2024-01-01,E2E-customer-demo
35,ONLINE,GOLD,53,2024-01-01,E2E-customer-demo
36,ONLINE,PLATINUM,65,2024-01-01,E2E-customer-demo
37,ONLINE,PLATINUM,49,2024-01-01,E2E-customer-demo
38,WHOLESALE,SILVER,55,2024-01-01,E2E-customer-demo
39,ONLINE,GOLD,87,2024-01-01,E2E-customer-demo
40,ONLINE,PLATINUM,97,2024-01-01,E2E-customer-demo
41,ONLINE,PLATINUM,63,2024-01-01,E2E-customer-demo
42,RETAIL,SILVER,72,2024-01-01,E2E-customer-demo
43,WHOLESALE,BRONZE,88,2024-01-01,E2E-customer-demo
44,RETAIL,BRONZE,49,2024-01-01,E2E-customer-demo
45,ONLINE,SILVER,90,2024-01-01,E2E-customer-demo
46,ONLINE,PLATINUM,78,2024-01-01,E2E-customer-demo
47,RETAIL,PLATINUM,64,2024-01-01,E2E-customer-demo
48,ONLINE,PLATINUM,73,2024-01-01,E2E-customer-demo
49,WHOLESALE,BRONZE,83,2024-01-01,E2E-customer-demo
50,ONLINE,BRONZE,83,2024-01-01,E2E-customer-demo
51,ONLINE,GOLD,89,2024-01-01,E2E-customer-demo
52,ONLINE,GOLD,47,2024-01-01,E2E-customer-demo
53,WHOLESALE,PLATINUM,50,2024-01-01,E2E-customer-demo
54,WHOLESALE,BRONZE,86,2024-01-01,E2E-customer-demo
55,ONLINE,GOLD,72,2024-01-01,E2E-customer-demo
56,RETAIL,BRONZE,95,2024-01-01,E2E-customer-demo
57,ONLINE,GOLD,93,2024-01-01,E2E-customer-demo
58,ONLINE,SILVER,49,2024-01-01,E2E-customer-demo
59,WHOLESALE,SILVER,74,2024-01-01,E2E-customer-demo
60,ONLINE,BRONZE,78,2024-01-01,E2E-customer-demo
61,WHOLESALE,PLATINUM,41,2024-01-01,E2E-customer-demo
62,RETAIL,GOLD,96,2024-01-01,E2E-customer-demo
63,WHOLESALE,SILVER,43,2024-01-01,E2E-customer-demo
64,RETAIL,BRONZE,45,2024-01-01,E2E-customer-demo
65,ONLINE,PLATINUM,92,2024-01-01,E2E-customer-demo
66,RETAIL,SILVER,48,2024-01-01,E2E-customer-demo
67,ONLINE,PLATINUM,75,2024-01-01,E2E-customer-demo
68,RETAIL,GOLD,73,2024-01-01,E2E-customer-demo
69,ONLINE,PLATINUM,53,2024-01-01,E2E-customer-demo
70,ONLINE,SILVER,85,2024-01-01,E2E-customer-demo
71,WHOLESALE,PLATINUM,82,2024-01-01,E2E-customer-demo
72,ONLINE,GOLD,68,2024-01-01,E2E-customer-demo
73,ONLINE,PLATINUM,47,2024-01-01,E2E-customer-demo
74,RETAIL,SILVER,44,2024-01-01,E2E-customer-demo
75,WHOLESALE,BRONZE,77,2024-01-01,E2E-customer-demo
76,ONLINE,SILVER,77,2024-01-01,E2E-customer-demo
77,RETAIL,BRONZE,44,2024-01-01,E2E-customer-demo
78,ONLINE,BRONZE,54,2024-01-01,E2E-customer-demo
79,RETAIL,BRONZE,95,2024-01-01,E2E-customer-demo
80,WHOLESALE,BRONZE,72,2024-01-01,E2E-customer-demo
81,RETAIL,GOLD,82,2024-01-01,E2E-customer-demo
82,WHOLESALE,SILVER,74,2024-01-01,E2E-customer-demo
