order_id,customer_id,order_date,shipping_date,delivery_date,order_status,total_amount,load_date,record_source
O100001,231,2024-03-11,2024-03-12,2024-03-13,NEW,1992.3,2024-03-01,E2E-order-header
O100002,3894,2024-03-24,2024-03-26,2024-03-29,NEW,706.96,2024-03-01,E2E-order-header
O100003,7506,2024-03-21,2024-03-24,2024-03-29,CANCELLED,2149.56,2024-03-01,E2E-order-header
O100004,1794,2024-03-26,2024-03-29,2024-04-03,CANCELLED,557.1,2024-03-01,E2E-order-header
O100005,225,2024-03-02,2024-03-05,2024-03-08,CANCELLED,2018.9,2024-03-01,E2E-order-header
O100006,1143,2024-03-05,2024-03-08,2024-03-09,NEW,315.96,2024-03-01,E2E-order-header
O100007,9743,2024-03-10,2024-03-12,2024-03-17,CANCELLED,2339.77,2024-03-01,E2E-order-header
O100008,2047,2024-03-16,2024-03-18,2024-03-21,SHIPPED,880.43,2024-03-01,E2E-order-header
O100009,5265,2024-03-26,2024-03-29,2024-04-02,DELIVERED,2468.23,2024-03-01,E2E-order-header
O100010,823,2024-03-08,2024-03-11,2024-03-16,SHIPPED,1208.55,2024-03-01,E2E-order-header
O100011,1064,2024-03-19,2024-03-20,2024-03-21,SHIPPED,1461.2,2024-03-01,E2E-order-header
O100012,5313,2024-03-02,2024-03-04,2024-03-05,CANCELLED,1170.92,2024-03-01,E2E-order-header
O100013,3954,2024-03-21,2024-03-22,2024-03-25,CANCELLED,1308.09,2024-03-01,E2E-order-header
O100014,4414,2024-03-11,2024-03-13,2024-03-16,NEW,146.76,2024-03-01,E2E-order-header
O100015,8967,2024-03-12,2024-03-13,2024-03-17,DELIVERED,1176.75,2024-03-01,E2E-order-header
O100016,3624,2024-03-07,2024-03-09,2024-03-14,DELIVERED,1419.55,2024-03-01,E2E-order-header
O100017,323,2024-03-19,2024-03-20,2024-03-24,SHIPPED,1801.11,2024-03-01,E2E-order-header
O100018,1428,2024-03-01,2024-03-04,2024-03-06,NEW,1413.94,2024-03-01,E2E-order-header
O100019,8135,2024-03-24,2024-03-26,2024-03-30,SHIPPED,2163.91,2024-03-01,E2E-order-header
O100020,5185,2024-03-03,2024-03-04,2024-03-08,NEW,509.74,2024-03-01,E2E-order-header
O100021,7050,2024-03-27,2024-03-30,2024-04-03,NEW,2099.1,2024-03-01,E2E-order-header
O100022,9050,2024-03-25,2024-03-27,2024-03-30,CANCELLED,976.29,2024-03-01,E2E-order-header
O100023,6180,2024-03-18,2024-03-21,2024-03-23,CANCELLED,630.36,2024-03-01,E2E-order-header
O100024,8610,2024-03-25,2024-03-28,2024-03-31,NEW,2159.84,2024-03-01,E2E-order-header
O100025,117,2024-03-09,2024-03-10,2024-03-15,SHIPPED,1626.64,2024-03-01,E2E-order-header
O100026,568,2024-03-10,2024-03-11,2024-03-15,SHIPPED,856.57,2024-03-01,E2E-order-header
O100027,6895,2024-03-15,2024-03-16,2024-03-17,SHIPPED,82.7,2024-03-01,E2E-order-header
O100028,2235,2024-03-22,2024-03-23,2024-03-27,SHIPPED,2499.4,2024-03-01,E2E-order-header
O100029,2478,2024-03-05,2024-03-08,2024-03-13,NEW,1693.36,2024-03-01,E2E-order-header
O100030,6825,2024-03-23,2024-03-26,2024-03-28,NEW,611.91,2024-03-01,E2E-order-header
O100031,3624,2024-03-18,2024-03-19,2024-03-20,DELIVERED,1525.52,2024-03-01,E2E-order-header
O100032,1632,2024-03-21,2024-03-24,2024-03-29,NEW,1539.78,2024-03-01,E2E-order-header
O100033,2196,2024-03-10,2024-03-11,2024-03-14,SHIPPED,118.32,2024-03-01,E2E-order-header
O100034,6399,2024-03-21,2024-03-22,2024-03-27,CANCELLED,34.92,2024-03-01,E2E-order-header
O100035,9055,2024-03-15,2024-03-18,2024-03-21,CANCELLED,2245.53,2024-03-01,E2E-order-header
O100036,5583,2024-03-09,2024-03-12,2024-03-13,SHIPPED,284.67,2024-03-01,E2E-order-header
O100037,7465,2024-03-27,2024-03-30,2024-04-01,CANCELLED,1924.97,2024-03-01,E2E-order-header
O100038,7048,2024-03-02,2024-03-04,2024-03-06,CANCELLED,1377.15,2024-03-01,E2E-order-header
O100039,3309,2024-03-19,2024-03-20,2024-03-21,CANCELLED,1480.19,2024-03-01,E2E-order-header
O100040,1538,2024-03-24,2024-03-26,2024-03-27,CANCELLED,1325.65,2024-03-01,E2E-order-header
O100041,143,2024-03-11,2024-03-12,2024-03-17,SHIPPED,321.1,2024-03-01,E2E-order-header
O100042,1444,2024-03-20,2024-03-22,2024-03-24,SHIPPED,1659.06,2024-03-01,E2E-order-header
O100043,1088,2024-03-19,2024-03-20,2024-03-22,CANCELLED,1848.11,2024-03-01,E2E-order-header
O100044,5656,2024-03-02,2024-03-04,2024-03-06,SHIPPED,343.28,2024-03-01,E2E-order-header
