order_id,product_id,line_number,quantity,unit_price,discount_pct,load_date,record_source
O100001,P000159,1,3,244.08,0.09,2024-03-01,E2E-order-line
O100001,P000321,2,3,84.65,0.05,2024-03-01,E2E-order-line
O100001,P000149,3,3,175.34,0.22,2024-03-01,E2E-order-line
O100001,P000025,4,4,30.49,0.08,2024-03-01,E2E-order-line
O100002,P000620,1,3,336.45,0.19,2024-03-01,E2E-order-line
O100002,P001046,2,2,417.01,0.16,2024-03-01,E2E-order-line
O100002,P000397,3,4,223.19,0.14,2024-03-01,E2E-order-line
O100003,P001036,1,4,248.03,0.13,2024-03-01,E2E-order-line
O100003,P000086,2,1,428.01,0.02,2024-03-01,E2E-order-line
O100004,P000805,1,4,181.34,0.03,2024-03-01,E2E-order-line
O100004,P000248,2,3,239.83,0.15,2024-03-01,E2E-order-line
O100004,P000418,3,1,319.69,0.21,2024-03-01,E2E-order-line
O100005,P000569,1,2,290.29,0.1,2024-03-01,E2E-order-line
O100005,P000480,2,4,218.59,0.19,2024-03-01,E2E-order-line
O100005,P000676,3,1,344.51,0.25,2024-03-01,E2E-order-line
O100006,P000720,1,5,96.52,0.23,2024-03-01,E2E-order-line
O100006,P001038,2,2,371.13,0.16,2024-03-01,E2E-order-line
O100006,P001015,3,1,401.54,0.06,2024-03-01,E2E-order-line
O100006,P000418,4,2,27.75,0.09,2024-03-01,E2E-order-line
O100007,P000559,1,3,429.21,0.2,2024-03-01,E2E-order-line
O100007,P000354,2,2,53.17,0.21,2024-03-01,E2E-order-line
O100008,P000020,1,5,475.49,0.18,2024-03-01,E2E-order-line
O100008,P000985,2,3,177.51,0.18,2024-03-01,E2E-order-line
O100008,P000422,3,2,88.42,0.05,2024-03-01,E2E-order-line
O100009,P000476,1,2,116.38,0.01,2024-03-01,E2E-order-line
O100009,P000275,2,2,58.87,0.17,2024-03-01,E2E-order-line
O100010,P000897,1,1,345.08,0.04,2024-03-01,E2E-order-line
O100010,P000753,2,5,134.16,0.02,2024-03-01,E2E-order-line
O100011,P000571,1,3,452.5,0.23,2024-03-01,E2E-order-line
O100011,P000360,2,5,469.57,0.08,2024-03-01,E2E-order-line
O100012,P000124,1,1,124.42,0.13,2024-03-01,E2E-order-line
O100013,P000035,1,4,319.43,0.24,2024-03-01,E2E-order-line
O100013,P000985,2,2,496.93,0.24,2024-03-01,E2E-order-line
O100013,P000060,3,3,390.94,0.04,2024-03-01,E2E-order-line
O100013,P000447,4,2,363.39,0.02,2024-03-01,E2E-order-line
O100014,P000725,1,2,57.92,0.23,2024-03-01,E2E-order-line
O100015,P000550,1,1,425.11,0.2,2024-03-01,E2E-order-line
O100015,P000676,2,3,146.7,0.14,2024-03-01,E2E-order-line
O100015,P000575,3,3,200.47,0.12,2024-03-01,E2E-order-line
O100016,P000341,1,5,9.23,0.15,2024-03-01,E2E-order-line
O100016,P001014,2,2,142.61,0.2,2024-03-01,E2E-order-line
O100016,P000121,3,1,356.23,0.18,2024-03-01,E2E-order-line
O100017,P000479,1,3,97.66,0.11,2024-03-01,E2E-order-line
O100017,P000984,2,1,197.04,0.1,2024-03-01,E2E-order-line
O100018,P000919,1,4,61.8,0.02,2024-03-01,E2E-order-line
O100018,P000024,2,5,138.77,0.03,2024-03-01,E2E-order-line
O100019,P000012,1,2,289.89,0.01,2024-03-01,E2E-order-line
O100019,P000482,2,1,492.78,0.0,2024-03-01,E2E-order-line
O100020,P000341,1,4,202.55,0.02,2024-03-01,E2E-order-line
O100020,P000288,2,3,76.11,0.1,2024-03-01,E2E-order-line
O100020,P000253,3,4,487.94,0.05,2024-03-01,E2E-order-line
O100021,P000873,1,3,153.58,0.17,2024-03-01,E2E-order-line
O100022,P000806,1,4,447.5,0.25,2024-03-01,E2E-order-line
O100023,P000697,1,4,160.35,0.21,2024-03-01,E2E-order-line
O100023,P000457,2,5,278.62,0.13,2024-03-01,E2E-order-line
O100023,P000450,3,2,242.29,0.0,2024-03-01,E2E-order-line
O100023,P000185,4,3,115.46,0.04,2024-03-01,E2E-order-line
O100024,P000168,1,3,177.08,0.16,2024-03-01,E2E-order-line
O100024,P000881,2,2,103.28,0.23,2024-03-01,E2E-order-line
O100024,P000270,3,5,485.24,0.15,2024-03-01,E2E-order-line
O100025,P000682,1,5,104.6,0.14,2024-03-01,E2E-order-line
O100025,P000249,2,1,67.0,0.12,2024-03-01,E2E-order-line
O100025,P000151,3,3,429.09,0.17,2024-03-01,E2E-order-line
O100025,P000703,4,4,456.11,0.12,2024-03-01,E2E-order-line
O100026,P000866,1,1,492.82,0.04,2024-03-01,E2E-order-line
O100026,P000564,2,5,123.77,0.04,2024-03-01,E2E-order-line
O100027,P000476,1,1,429.45,0.17,2024-03-01,E2E-order-line
O100028,P000441,1,4,224.84,0.06,2024-03-01,E2E-order-line
O100028,P001000,2,1,104.5,0.24,2024-03-01,E2E-order-line
O100029,P000749,1,1,378.4,0.13,2024-03-01,E2E-order-line
O100029,P000530,2,5,42.58,0.13,2024-03-01,E2E-order-line
O100030,P000382,1,1,414.09,0.17,2024-03-01,E2E-order-line
O100031,P000581,1,2,85.33,0.15,2024-03-01,E2E-order-line
O100031,P000038,2,3,415.03,0.02,2024-03-01,E2E-order-line
O100031,P000457,3,2,231.88,0.19,2024-03-01,E2E-order-line
O100032,P000457,1,4,18.66,0.09,2024-03-01,E2E-order-line
O100033,P001019,1,2,483.36,0.19,2024-03-01,E2E-order-line
O100033,P000822,2,2,231.77,0.07,2024-03-01,E2E-order-line
O100033,P000059,3,1,417.97,0.02,2024-03-01,E2E-order-line
O100033,P000244,4,4,364.87,0.23,2024-03-01,E2E-order-line
O100034,P000798,1,2,155.69,0.17,2024-03-01,E2E-order-line
O100034,P000899,2,3,407.24,0.07,2024-03-01,E2E-order-line
O100034,P000175,3,1,46.69,0.2,2024-03-01,E2E-order-line
O100035,P000836,1,5,65.04,0.15,2024-03-01,E2E-order-line
O100035,P000217,2,5,198.13,0.13,2024-03-01,E2E-order-line
O100035,P000642,3,3,165.27,0.12,2024-03-01,E2E-order-line
O100036,P000215,1,4,423.18,0.23,2024-03-01,E2E-order-line
O100036,P000799,2,4,142.53,0.24,2024-03-01,E2E-order-line
O100036,P001013,3,5,334.73,0.21,2024-03-01,E2E-order-line
O100036,P000022,4,4,116.73,0.2,2024-03-01,E2E-order-line
O100037,P000590,1,3,282.15,0.01,2024-03-01,E2E-order-line
O100037,P000354,2,1,439.32,0.1,2024-03-01,E2E-order-line
O100037,P000525,3,4,204.92,0.11,2024-03-01,E2E-order-line
O100038,P000194,1,4,166.16,0.03,2024-03-01,E2E-order-line
O100038,P000641,2,2,383.53,0.04,2024-03-01,E2E-order-line
O100038,P000123,3,3,351.04,0.19,2024-03-01,E2E-order-line
O100039,P000304,1,5,185.11,0.11,2024-03-01,E2E-order-line
O100039,P000410,2,5,25.71,0.2,2024-03-01,E2E-order-line
O100040,P000988,1,4,178.86,0.12,2024-03-01,E2E-order-line
O100040,P000809,2,3,428.31,0.23,2024-03-01,E2E-order-line
O100041,P000014,1,5,125.75,0.03,2024-03-01,E2E-order-line
O100041,P000029,2,4,229.23,0.12,2024-03-01,E2E-order-line
O100041,P000163,3,2,213.76,0.22,2024-03-01,E2E-order-line
O100042,P000939,1,4,96.18,0.09,2024-03-01,E2E-order-line
O100042,P000756,2,3,58.44,0.2,2024-03-01,E2E-order-line
O100043,P000704,1,2,169.42,0.11,2024-03-01,E2E-order-line
O100043,P000858,2,1,228.14,0.19,2024-03-01,E2E-order-line
O100043,P000900,3,3,60.29,0.15,2024-03-01,E2E-order-line
O100044,P000281,1,3,451.14,0.11,2024-03-01,E2E-order-line
O100044,P000904,2,5,351.59,0.17,2024-03-01,E2E-order-line
O100044,P000867,3,3,368.06,0.06,2024-03-01,E2E-order-line
