product_id,product_name,category,unit_price,load_date,record_source
P001001,Product 1001,Apparel,31.05,2024-04-01,E2E-product
P001002,Product 1002,Sports,443.27,2024-04-01,E2E-product
P001003,Product 1003,Home,92.37,2024-04-01,E2E-product
P001004,Product 1004,Grocery,134.14,2024-04-01,E2E-product
P001005,Product 1005,Sports,43.24,2024-04-01,E2E-product
P001006,Product 1006,Apparel,160.35,2024-04-01,E2E-product
P001007,Product 1007,Grocery,323.77,2024-04-01,E2E-product
P001008,Product 1008,Home,313.79,2024-04-01,E2E-product
P001009,Product 1009,Apparel,297.5,2024-04-01,E2E-product
P001010,Product 1010,Sports,15.92,2024-04-01,E2E-product
P001011,Product 1011,Sports,138.22,2024-04-01,E2E-product
P001012,Product 1012,Apparel,32.84,2024-04-01,E2E-product
P001013,Product 1013,Sports,162.28,2024-04-01,E2E-product
P001014,Product 1014,Apparel,343.03,2024-04-01,E2E-product
P001015,Product 1015,Grocery,145.63,2024-04-01,E2E-product
P001016,Product 1016,Electronics,166.41,2024-04-01,E2E-product
P001017,Product 1017,Grocery,307.85,2024-04-01,E2E-product
P001018,Product 1018,Apparel,126.82,2024-04-01,E2E-product
P001019,Product 1019,Grocery,404.46,2024-04-01,E2E-product
P001020,Product 1020,Sports,355.47,2024-04-01,E2E-product
P001021,Product 1021,Sports,298.53,2024-04-01,E2E-product
P001022,Product 1022,Sports,53.18,2024-04-01,E2E-product
P001023,Product 1023,Home,484.63,2024-04-01,E2E-product
P001024,Product 1024,Grocery,343.15,2024-04-01,E2E-product
P001025,Product 1025,Grocery,211.53,2024-04-01,E2E-product
P001026,Product 1026,Grocery,454.89,2024-04-01,E2E-product
P001027,Product 1027,Sports,250.26,2024-04-01,E2E-product
P001028,Product 1028,Apparel,454.14,2024-04-01,E2E-product
P001029,Product 1029,Home,378.34,2024-04-01,E2E-product
P001030,Product 1030,Sports,52.25,2024-04-01,E2E-product
P001031,Product 1031,Electronics,128.57,2024-04-01,E2E-product
P001032,Product 1032,Home,393.81,2024-04-01,E2E-product
P001033,Product 1033,Home,446.62,2024-04-01,E2E-product
P001034,Product 1034,Electronics,153.62,2024-04-01,E2E-product
P001035,Product 1035,Grocery,191.37,2024-04-01,E2E-product
P001036,Product 1036,Electronics,224.39,2024-04-01,E2E-product
P001037,Product 1037,Apparel,41.39,2024-04-01,E2E-product
P001038,Product 1038,Electronics,286.54,2024-04-01,E2E-product
P001039,Product 1039,Grocery,191.98,2024-04-01,E2E-product
P001040,Product 1040,Apparel,357.63,2024-04-01,E2E-product
P001041,Product 1041,Sports,222.17,2024-04-01,E2E-product
P001042,Product 1042,Grocery,305.42,2024-04-01,E2E-product
P001043,Product 1043,Sports,170.25,2024-04-01,E2E-product
P001044,Product 1044,Grocery,193.07,2024-04-01,E2E-product
P001045,Product 1045,Apparel,72.45,2024-04-01,E2E-product
P001046,Product 1046,Home,191.27,2024-04-01,E2E-product
P001047,Product 1047,Home,95.56,2024-04-01,E2E-product
P001048,Product 1048,Electronics,462.03,2024-04-01,E2E-product
P001049,Product 1049,Apparel,281.87,2024-04-01,E2E-product
P001050,Product 1050,Grocery,456.0,2024-04-01,E2E-product
