product_id,product_name,category,unit_price,load_date,record_source
P000001,Product 1,Sports,64.07,2024-01-01,E2E-product
P000002,Product 2,Apparel,35.84,2024-01-01,E2E-product
P000003,Product 3,Home,413.38,2024-01-01,E2E-product
P000004,Product 4,Sports,456.61,2024-01-01,E2E-product
P000005,Product 5,Grocery,17.11,2024-01-01,E2E-product
P000006,Product 6,Grocery,242.25,2024-01-01,E2E-product
P000007,Product 7,Apparel,173.39,2024-01-01,E2E-product
P000008,Product 8,Grocery,282.17,2024-01-01,E2E-product
P000009,Product 9,Apparel,364.3,2024-01-01,E2E-product
P000010,Product 10,Apparel,168.06,2024-01-01,E2E-product
P000011,Product 11,Grocery,464.25,2024-01-01,E2E-product
P000012,Product 12,Home,458.27,2024-01-01,E2E-product
P000013,Product 13,Electronics,121.68,2024-01-01,E2E-product
P000014,Product 14,Apparel,39.24,2024-01-01,E2E-product
P000015,Product 15,Sports,372.69,2024-01-01,E2E-product
P000016,Product 16,Home,454.11,2024-01-01,E2E-product
P000017,Product 17,Apparel,71.02,2024-01-01,E2E-product
P000018,Product 18,Apparel,141.55,2024-01-01,E2E-product
P000019,Product 19,Grocery,113.6,2024-01-01,E2E-product
P000020,Product 20,Home,66.03,2024-01-01,E2E-product
P000021,Product 21,Grocery,250.65,2024-01-01,E2E-product
P000022,Product 22,Grocery,397.06,2024-01-01,E2E-product
P000023,Product 23,Sports,407.09,2024-01-01,E2E-product
P000024,Product 24,Sports,243.54,2024-01-01,E2E-product
P000025,Product 25,Apparel,381.23,2024-01-01,E2E-product
P000026,Product 26,Home,118.84,2024-01-01,E2E-product
P000027,Product 27,Grocery,498.58,2024-01-01,E2E-product
P000028,Product 28,Electronics,253.5,2024-01-01,E2E-product
P000029,Product 29,Grocery,341.12,2024-01-01,E2E-product
P000030,Product 30,Apparel,235.36,2024-01-01,E2E-product
P000031,Product 31,Electronics,369.96,2024-01-01,E2E-product
P000032,Product 32,Grocery,215.6,2024-01-01,E2E-product
P000033,Product 33,Sports,144.52,2024-01-01,E2E-product
P000034,Product 34,Home,182.89,2024-01-01,E2E-product
P000035,Product 35,Apparel,395.91,2024-01-01,E2E-product
P000036,Product 36,Apparel,262.87,2024-01-01,E2E-product
P000037,Product 37,Electronics,437.36,2024-01-01,E2E-product
P000038,Product 38,Home,246.03,2024-01-01,E2E-product
P000039,Product 39,Grocery,203.71,2024-01-01,E2E-product
P000040,Product 40,Home,348.39,2024-01-01,E2E-product
P000041,Product 41,Home,5.22,2024-01-01,E2E-product
P000042,Product 42,Sports,261.28,2024-01-01,E2E-product
P000043,Product 43,Grocery,297.84,2024-01-01,E2E-product
P000044,Product 44,Home,79.0,2024-01-01,E2E-product
P000045,Product 45,Apparel,84.95,2024-01-01,E2E-product
P000046,Product 46,Apparel,201.45,2024-01-01,E2E-product
