warehouse_id,warehouse_name,city,region,capacity,load_date,record_source
51,Warehouse 51,New York,South,177945,2024-02-01,E2E-warehouse
52,Warehouse 52,Phoenix,North,206073,2024-02-01,E2E-warehouse
53,Warehouse 53,Phoenix,North,143147,2024-02-01,E2E-warehouse
54,Warehouse 54,Austin,North,105019,2024-02-01,E2E-warehouse
55,Warehouse 55,Phoenix,North,103830,2024-02-01,E2E-warehouse
56,Warehouse 56,Austin,North,229661,2024-02-01,E2E-warehouse
57,Warehouse 57,New York,South,98588,2024-02-01,E2E-warehouse
58,Warehouse 58,New York,South,75972,2024-02-01,E2E-warehouse
59,Warehouse 59,New York,East,151276,2024-02-01,E2E-warehouse
60,Warehouse 60,Seattle,East,101550,2024-02-01,E2E-warehouse
61,Warehouse 61,Austin,West,182928,2024-02-01,E2E-warehouse
62,Warehouse 62,Austin,South,113521,2024-02-01,E2E-warehouse
63,Warehouse 63,Chicago,West,178259,2024-02-01,E2E-warehouse
64,Warehouse 64,New York,East,144887,2024-02-01,E2E-warehouse
65,Warehouse 65,Phoenix,South,20582,2024-02-01,E2E-warehouse
66,Warehouse 66,Seattle,North,144035,2024-02-01,E2E-warehouse
67,Warehouse 67,Austin,North,31957,2024-02-01,E2E-warehouse
68,Warehouse 68,Chicago,West,168131,2024-02-01,E2E-warehouse
69,Warehouse 69,Seattle,South,12720,2024-02-01,E2E-warehouse
70,Warehouse 70,Phoenix,West,61389,2024-02-01,E2E-warehouse
71,Warehouse 71,Chicago,North,126141,2024-02-01,E2E-warehouse
72,Warehouse 72,Chicago,North,28258,2024-02-01,E2E-warehouse
73,Warehouse 73,Chicago,East,71424,2024-02-01,E2E-warehouse
74,Warehouse 74,Seattle,East,201639,2024-02-01,E2E-warehouse
75,Warehouse 75,Chicago,North,68311,2024-02-01,E2E-warehouse
76,Warehouse 76,Phoenix,East,105365,2024-02-01,E2E-warehouse
77,Warehouse 77,Chicago,East,167517,2024-02-01,E2E-warehouse
78,Warehouse 78,Phoenix,West,53359,2024-02-01,E2E-warehouse
79,Warehouse 79,Seattle,South,165590,2024-02-01,E2E-warehouse
80,Warehouse 80,New York,East,233440,2024-02-01,E2E-warehouse
81,Warehouse 81,New York,East,23568,2024-02-01,E2E-warehouse
82,Warehouse 82,Seattle,West,15007,2024-02-01,E2E-warehouse
83,Warehouse 83,Seattle,North,80972,2024-02-01,E2E-warehouse
84,Warehouse 84,Phoenix,West,73840,2024-02-01,E2E-warehouse
85,Warehouse 85,Phoenix,South,173924,2024-02-01,E2E-warehouse
86,Warehouse 86,Austin,North,181142,2024-02-01,E2E-warehouse
87,Warehouse 87,New York,South,185925,2024-02-01,E2E-warehouse
88,Warehouse 88,New York,East,70727,2024-02-01,E2E-warehouse
89,Warehouse 89,Phoenix,North,135687,2024-02-01,E2E-warehouse
90,Warehouse 90,Phoenix,North,89841,2024-02-01,E2E-warehouse
91,Warehouse 91,Seattle,West,141520,2024-02-01,E2E-warehouse
92,Warehouse 92,Seattle,North,185177,2024-02-01,E2E-warehouse
93,Warehouse 93,Phoenix,South,131495,2024-02-01,E2E-warehouse
94,Warehouse 94,Austin,North,244982,2024-02-01,E2E-warehouse
95,Warehouse 95,Seattle,North,234325,2024-02-01,E2E-warehouse
96,Warehouse 96,Austin,South,140029,2024-02-01,E2E-warehouse
97,Warehouse 97,Chicago,North,44829,2024-02-01,E2E-warehouse
98,Warehouse 98,Austin,West,61146,2024-02-01,E2E-warehouse
99,Warehouse 99,Phoenix,East,233246,2024-02-01,E2E-warehouse
100,Warehouse 100,New York,North,234857,2024-02-01,E2E-warehouse
