warehouse_id,product_id,stock_qty,reorder_point,load_date,record_source
88,P001016,153,274,2024-03-01,E2E-warehouse-product
86,P001043,2788,324,2024-03-01,E2E-warehouse-product
65,P001011,4646,403,2024-03-01,E2E-warehouse-product
74,P001029,349,285,2024-03-01,E2E-warehouse-product
83,P001011,1571,85,2024-03-01,E2E-warehouse-product
75,P001013,944,418,2024-03-01,E2E-warehouse-product
65,P001031,4120,121,2024-03-01,E2E-warehouse-product
64,P001001,3507,187,2024-03-01,E2E-warehouse-product
79,P001041,3020,226,2024-03-01,E2E-warehouse-product
52,P001001,1280,84,2024-03-01,E2E-warehouse-product
72,P001028,4237,65,2024-03-01,E2E-warehouse-product
68,P001050,2348,302,2024-03-01,E2E-warehouse-product
62,P001021,4233,344,2024-03-01,E2E-warehouse-product
53,P001022,3329,457,2024-03-01,E2E-warehouse-product
75,P001026,3524,202,2024-03-01,E2E-warehouse-product
79,P001033,4144,412,2024-03-01,E2E-warehouse-product
93,P001046,1012,99,2024-03-01,E2E-warehouse-product
76,P001018,4054,491,2024-03-01,E2E-warehouse-product
51,P001014,311,491,2024-03-01,E2E-warehouse-product
81,P001039,4154,98,2024-03-01,E2E-warehouse-product
81,P001015,3748,168,2024-03-01,E2E-warehouse-product
93,P001002,1794,464,2024-03-01,E2E-warehouse-product
53,P001017,2663,243,2024-03-01,E2E-warehouse-product
92,P001026,2247,417,2024-03-01,E2E-warehouse-product
74,P001032,1928,372,2024-03-01,E2E-warehouse-product
77,P001012,3166,490,2024-03-01,E2E-warehouse-product
63,P001043,2194,217,2024-03-01,E2E-warehouse-product
53,P001050,821,151,2024-03-01,E2E-warehouse-product
65,P001034,4869,65,2024-03-01,E2E-warehouse-product
79,P001013,2269,144,2024-03-01,E2E-warehouse-product
87,P001042,1213,298,2024-03-01,E2E-warehouse-product
93,P001023,36,348,2024-03-01,E2E-warehouse-product
93,P001029,2604,309,2024-03-01,E2E-warehouse-product
84,P001040,3811,230,2024-03-01,E2E-warehouse-product
88,P001042,3264,284,2024-03-01,E2E-warehouse-product
75,P001045,4876,121,2024-03-01,E2E-warehouse-product
73,P001028,1147,308,2024-03-01,E2E-warehouse-product
72,P001026,1553,275,2024-03-01,E2E-warehouse-product
68,P001034,565,274,2024-03-01,E2E-warehouse-product
56,P001026,3317,231,2024-03-01,E2E-warehouse-product
77,P001033,1103,63,2024-03-01,E2E-warehouse-product
87,P001022,1947,347,2024-03-01,E2E-warehouse-product
78,P001043,4327,150,2024-03-01,E2E-warehouse-product
63,P001006,3643,336,2024-03-01,E2E-warehouse-product
75,P001011,4218,75,2024-03-01,E2E-warehouse-product
52,P001033,3329,137,2024-03-01,E2E-warehouse-product
79,P001015,723,134,2024-03-01,E2E-warehouse-product
59,P001031,1459,97,2024-03-01,E2E-warehouse-product
77,P001048,738,69,2024-03-01,E2E-warehouse-product
51,P001004,909,424,2024-03-01,E2E-warehouse-product
71,P001007,4035,398,2024-03-01,E2E-warehouse-product
85,P001017,670,56,2024-03-01,E2E-warehouse-product
53,P001034,4065,485,2024-03-01,E2E-warehouse-product
65,P001001,3709,233,2024-03-01,E2E-warehouse-product
56,P001025,3821,294,2024-03-01,E2E-warehouse-product
52,P001015,3812,423,2024-03-01,E2E-warehouse-product
75,P001036,1177,342,2024-03-01,E2E-warehouse-product
88,P001035,3577,478,2024-03-01,E2E-warehouse-product
76,P001020,4121,52,2024-03-01,E2E-warehouse-product
98,P001015,69,273,2024-03-01,E2E-warehouse-product
64,P001039,2278,102,2024-03-01,E2E-warehouse-product
89,P001029,2764,333,2024-03-01,E2E-warehouse-product
98,P001046,961,340,2024-03-01,E2E-warehouse-product
96,P001005,1642,360,2024-03-01,E2E-warehouse-product
65,P001002,4290,217,2024-03-01,E2E-warehouse-product
90,P001040,427,463,2024-03-01,E2E-warehouse-product
66,P001003,2946,212,2024-03-01,E2E-warehouse-product
60,P001006,718,492,2024-03-01,E2E-warehouse-product
60,P001050,1182,372,2024-03-01,E2E-warehouse-product
