warehouse_id,product_id,stock_qty,reorder_point,load_date,record_source
39,P000215,834,148,2024-01-01,E2E-warehouse-product
24,P000323,1973,79,2024-01-01,E2E-warehouse-product
40,P000551,4588,154,2024-01-01,E2E-warehouse-product
42,P000901,3060,324,2024-01-01,E2E-warehouse-product
4,P000295,3551,319,2024-01-01,E2E-warehouse-product
29,P000394,4928,211,2024-01-01,E2E-warehouse-product
24,P000581,1753,328,2024-01-01,E2E-warehouse-product
33,P000391,3039,489,2024-01-01,E2E-warehouse-product
49,P000059,2004,66,2024-01-01,E2E-warehouse-product
8,P000069,1476,477,2024-01-01,E2E-warehouse-product
14,P000319,3921,331,2024-01-01,E2E-warehouse-product
1,P000712,1531,88,2024-01-01,E2E-warehouse-product
49,P000412,3022,401,2024-01-01,E2E-warehouse-product
11,P000993,2329,268,2024-01-01,E2E-warehouse-product
20,P000495,2291,317,2024-01-01,E2E-warehouse-product
40,P000804,2303,171,2024-01-01,E2E-warehouse-product
3,P000523,1861,269,2024-01-01,E2E-warehouse-product
34,P000627,4280,183,2024-01-01,E2E-warehouse-product
11,P000270,4716,58,2024-01-01,E2E-warehouse-product
34,P000645,993,308,2024-01-01,E2E-warehouse-product
8,P000096,91,261,2024-01-01,E2E-warehouse-product
28,P000086,842,332,2024-01-01,E2E-warehouse-product
27,P000269,1853,306,2024-01-01,E2E-warehouse-product
38,P000093,60,101,2024-01-01,E2E-warehouse-product
12,P000585,4881,270,2024-01-01,E2E-warehouse-product
9,P000484,1808,140,2024-01-01,E2E-warehouse-product
38,P000488,794,199,2024-01-01,E2E-warehouse-product
22,P000298,4875,143,2024-01-01,E2E-warehouse-product
44,P000943,4261,325,2024-01-01,E2E-warehouse-product
16,P000253,2158,234,2024-01-01,E2E-warehouse-product
24,P000639,3281,222,2024-01-01,E2E-warehouse-product
33,P000192,463,323,2024-01-01,E2E-warehouse-product
15,P000302,4143,294,2024-01-01,E2E-warehouse-product
30,P000216,2061,347,2024-01-01,E2E-warehouse-product
25,P000361,1608,462,2024-01-01,E2E-warehouse-product
10,P000792,2299,148,2024-01-01,E2E-warehouse-product
50,P000981,737,357,2024-01-01,E2E-warehouse-product
41,P000350,255,110,2024-01-01,E2E-warehouse-product
4,P000885,3120,332,2024-01-01,E2E-warehouse-product
19,P000531,1875,292,2024-01-01,E2E-warehouse-product
44,P000055,1117,237,2024-01-01,E2E-warehouse-product
27,P000057,3909,419,2024-01-01,E2E-warehouse-product
4,P000631,2618,119,2024-01-01,E2E-warehouse-product
6,P000630,2257,461,2024-01-01,E2E-warehouse-product
4,P000751,531,90,2024-01-01,E2E-warehouse-product
39,P000550,2519,217,2024-01-01,E2E-warehouse-product
6,P000236,4262,280,2024-01-01,E2E-warehouse-product
8,P000230,4728,398,2024-01-01,E2E-warehouse-product
49,P000901,4620,143,2024-01-01,E2E-warehouse-product
47,P000868,1723,78,2024-01-01,E2E-warehouse-product
38,P000360,2462,307,2024-01-01,E2E-warehouse-product
3,P000819,3049,375,2024-01-01,E2E-warehouse-product
31,P000137,2853,140,2024-01-01,E2E-warehouse-product
4,P000674,2378,477,2024-01-01,E2E-warehouse-product
22,P000165,3663,197,2024-01-01,E2E-warehouse-product
22,P000805,4425,160,2024-01-01,E2E-warehouse-product
31,P000052,342,166,2024-01-01,E2E-warehouse-product
45,P000699,358,155,2024-01-01,E2E-warehouse-product
4,P000614,2415,400,2024-01-01,E2E-warehouse-product
20,P000574,4547,74,2024-01-01,E2E-warehouse-product
43,P000860,645,106,2024-01-01,E2E-warehouse-product
5,P000916,3776,283,2024-01-01,E2E-warehouse-product
13,P000808,1397,159,2024-01-01,E2E-warehouse-product
47,P000445,1337,279,2024-01-01,E2E-warehouse-product
15,P000177,2,266,2024-01-01,E2E-warehouse-product
26,P000409,492,64,2024-01-01,E2E-warehouse-product
6,P000588,4101,341,2024-01-01,E2E-warehouse-product
10,P000284,2023,335,2024-01-01,E2E-warehouse-product
22,P000487,2582,407,2024-01-01,E2E-warehouse-product
47,P000187,1642,301,2024-01-01,E2E-warehouse-product
1,P000219,2133,117,2024-01-01,E2E-warehouse-product
2,P000236,3958,466,2024-01-01,E2E-warehouse-product
41,P000787,4820,104,2024-01-01,E2E-warehouse-product
32,P000804,74,212,2024-01-01,E2E-warehouse-product
2,P000285,1845,89,2024-01-01,E2E-warehouse-product
49,P000310,2977,496,2024-01-01,E2E-warehouse-product
33,P000862,200,283,2024-01-01,E2E-warehouse-product
45,P000391,4919,321,2024-01-01,E2E-warehouse-product
25,P000564,3971,453,2024-01-01,E2E-warehouse-product
40,P000410,722,169,2024-01-01,E2E-warehouse-product
44,P000850,1560,205,2024-01-01,E2E-warehouse-product
32,P000560,1430,417,2024-01-01,E2E-warehouse-product
39,P000121,2921,463,2024-01-01,E2E-warehouse-product
48,P000695,3602,256,2024-01-01,E2E-warehouse-product
10,P000316,717,189,2024-01-01,E2E-warehouse-product
25,P000853,3039,403,2024-01-01,E2E-warehouse-product
37,P000257,2515,227,2024-01-01,E2E-warehouse-product
25,P000090,3076,133,2024-01-01,E2E-warehouse-product
33,P000642,1875,405,2024-01-01,E2E-warehouse-product
50,P000715,2594,173,2024-01-01,E2E-warehouse-product
10,P000224,3342,79,2024-01-01,E2E-warehouse-product
18,P000647,2391,494,2024-01-01,E2E-warehouse-product
37,P000105,1829,117,2024-01-01,E2E-warehouse-product
10,P000754,4800,167,2024-01-01,E2E-warehouse-product
21,P000270,4482,298,2024-01-01,E2E-warehouse-product
32,P000671,1074,125,2024-01-01,E2E-warehouse-product
9,P000219,3139,443,2024-01-01,E2E-warehouse-product
9,P000950,59,499,2024-01-01,E2E-warehouse-product
9,P000318,955,235,2024-01-01,E2E-warehouse-product
11,P000741,1099,195,2024-01-01,E2E-warehouse-product
19,P000171,4752,232,2024-01-01,E2E-warehouse-product
